"AGÊNCIA NACIONAL DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS - ANP",,,,,,,,,,,,,,
SUPERINTENDÊNCIA DE DEFESA DA CONCORRÊNCIA,,,,,,,,,,,,,,
SISTEMA DE LEVANTAMENTO DE PREÇOS,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
INTERVALO DE TEMPO: SEMANAL,,,,,,,,,,,,,,
PERÍODO: 18/05/2025 A 24/05/2025,,,,,,,,,,,,,,
COMBUSTÍVEL: TODOS,,,,,,,,,,,,,,
TIPO RELATÓRIO: MUNICÍPIO,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
CNPJ,RAZÃO,FANTASIA,ENDEREÇO,NÚMERO,COMPLEMENTO,BAIRRO,CEP,MUNICÍPIO,ESTADO,BANDEIRA,PRODUTO,UNIDADE DE MEDIDA,PREÇO DE REVENDA,DATA DA COLETA
 04.431.113/0001-00,COMERCIO DE COMBUSTIVEIS NENZITA LTDA,POSTO MANDACARU,AVENIDA CAXANGA,126,,PEDRA VELHA,57480-000,DELMIRO GOUVEIA,ALAGOAS,BRANCA,GASOLINA COMUM,R$ / litro,7.15,5/19/2025
 04.431.113/0001-00,COMERCIO DE COMBUSTIVEIS NENZITA LTDA,POSTO MANDACARU,AVENIDA CAXANGA,126,,PEDRA VELHA,57480-000,DELMIRO GOUVEIA,ALAGOAS,BRANCA,GASOLINA ADITIVADA,R$ / litro,7.15,5/19/2025
 04.431.113/0001-00,COMERCIO DE COMBUSTIVEIS NENZITA LTDA,POSTO MANDACARU,AVENIDA CAXANGA,126,,PEDRA VELHA,57480-000,DELMIRO GOUVEIA,ALAGOAS,BRANCA,DIESEL S500,R$ / litro,6.95,5/19/2025
 04.431.113/0001-00,COMERCIO DE COMBUSTIVEIS NENZITA LTDA,POSTO MANDACARU,AVENIDA CAXANGA,126,,PEDRA VELHA,57480-000,DELMIRO GOUVEIA,ALAGOAS,BRANCA,DIESEL S10,R$ / litro,6.99,5/19/2025
 04.431.113/0001-00,COMERCIO DE COMBUSTIVEIS NENZITA LTDA,POSTO MANDACARU,AVENIDA CAXANGA,126,,PEDRA VELHA,57480-000,DELMIRO GOUVEIA,ALAGOAS,BRANCA,ETANOL,R$ / litro,5.08,5/19/2025
